title,photo,summary,published,link,category,source
PROGRAM: Házenkářky na MS zdolaly Slovenky a postoupily do další skupiny,https://1gr.cz/fotky/idnes/21/121/cl6/ROU8fe008_czehun2.jpg,"Nejprve sice prohrály s Němkami (21:31) a Maďarkami (29:32), díky vítězství nad Slovenkami (24:23) ale české házenkářky prošly na mistrovství světa ve Španělsku do další skupiny. V ní se utkají s Dánskem, Jižní Koreou a Kongem. Podívejte se na program a výsledky šampionátu.","Mon, 06 Dec 2021 18:49:00 GMT",https://www.idnes.cz/sport/hazena/ms-2021-zeny-program-vysledky-cesko.A211130_162000_hazena_ikuc#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Házená,idnes.cz
Menší balení za stejnou cenu. Japonec začal dokumentovat triky výrobců,https://1gr.cz/fotky/idnes/21/121/cl6/RIE8fd8ab_profimedia_0603018542.jpg,Zmenšující se balení jeho oblíbených sušenek a následně i menší velikost jednotlivých kousků uvnitř balení donutila Japonce jménem Masayuki Iwasu začít jednat. Založil si vlastní web a ceny výrobků a jejich gramáže poctivě dokumentuje. A především skryté zvyšování cen výrobců.,"Mon, 06 Dec 2021 18:46:00 GMT",https://www.idnes.cz/ekonomika/zahranicni/japonsko-smrskflace-mensi-baleni-stejna-cena.A211203_122303_eko-zahranicni_rie#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Ekonomika - Zahraniční,idnes.cz
To byly nervy. Házenkářky v přímém souboji o postup udolaly Slovensko,https://1gr.cz/fotky/idnes/21/121/cl6/ROU8fe008_czehun2.jpg,"České házenkářky zvítězily v závěrečném utkání základní skupiny mistrovství světa ve Španělsku nad Slovenskem 24:23 a prošly do další fáze turnaje. Nervózní souboj o postup s bývalým federálním partnerem až v závěrečné desetiminutovce, několika zákroky k tomu přispěla i brankářka Petra Kudláčková.","Mon, 06 Dec 2021 18:45:00 GMT",https://www.idnes.cz/sport/hazena/cesko-slovensko-mistrovstvi-sveta-zeny-online-zpravodajstvi.A211206_103850_hazena_tof#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Házená,idnes.cz
Švédští florbalisté deklasovali Dánsko a zajistili si čtvrtfinále,https://1gr.cz/fotky/idnes/21/121/cl6/TEN8fea9a_profimedia_0646650163.jpg,Švédští florbalisté deklasovali v závěrečném utkání základní skupiny A na mistrovství světa v Helsinkách Dánsko 15:1 a zajistili si přímý postup do čtvrtfinále ze druhého místa za Finskem.,"Mon, 06 Dec 2021 18:08:00 GMT",https://www.idnes.cz/sport/florbal/mistrovstvi-sveta-florbalistu.A211206_190833_florbal_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Sport - Florbal,idnes.cz
"Na práva těhotných už sahá také Írán. Omezí potraty, hrozit má i trest smrti",https://1gr.cz/fotky/idnes/21/121/cl6/KHA8fd957_profimedia_0523290936.jpg,"Po Američankách a Polkách došlo už i na Íránky. Vláda nového konzervativního prezidenta Íránu Ebráhíma Raísího chce zpřísnit nynější podmínky potratů. Ale nejen to. Omezit se má i přístup k antikoncepci, sterilizace pak bude úplně zakázaná. Za porušení zákona mohou viníci dostat i trest smrti. Novým zákonem chce vláda zastavit stárnutí populace.","Mon, 06 Dec 2021 18:06:00 GMT",https://www.idnes.cz/zpravy/zahranicni/iran-vlada-potraty-zprisneni-ebrahim-raisi.A211203_165456_zahranicni_kha#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Zahraničí,idnes.cz
Režisér Šmídmajer: Kundera dodnes mluví moravským nářečím. Zůstal Čech jako poleno,https://1gr.cz/fotky/idnes/21/112/cl6/LUH8f7972_HLAVNmdmajer_mafra_Michal_Svek_3.jpg,"Do filmového světa se poprvé zapsal před třiceti lety dokumentem o Miloši Formanovi. Následovalo mnoho dalších portrétů známých osobností a také komedií, které přivedl na svět coby producent. Až posledních třináct let se Miloslav Šmídmajer věnuje převážně režii hraných filmů. Připomeňme komedie Probudím se včera, Případ mrtvého nebožtíka nebo pohádku Peklo s princeznou. Jeho posledním počinem je však opět dokument, tentokrát o Milanu Kunderovi. Co mají Kundera s Formanem společného? A o jakém filmu ještě sní?","Mon, 06 Dec 2021 18:00:00 GMT",https://www.idnes.cz/kultura/film-televize/miloslav-smidmajer-rezie-milos-forman-dokument-milan-kundera.A211112_145449_filmvideo_wes#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Kultura - Film/TV,idnes.cz
"Sníh a mráz vydrží ještě tento týden, Vánoce budou zřejmě opět na blátě",https://1gr.cz/fotky/idnes/12/011/cl6/TOP404356__MG_3055.jpg,"Nejchladnější počasí z nadcházejícího období čeká Česko tento týden, bude mrznout i sněžit. V dalších týdnech, včetně vánočních svátků, se ale zřejmě mírně oteplí. Už začátkem příštího týdne se mohou teploty přes den dostat hlavně v Čechách až na sedm stupňů nad nulou. Jinak bude závěr roku teplotně průměrný, uvedli meteorologové ve svém měsíčním výhledu.","Mon, 06 Dec 2021 17:59:00 GMT",https://www.idnes.cz/zpravy/domaci/pocasi-predpoved-chmu-meteorologove-vanoce-snih-zima.A211206_181420_domaci_pmk#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"STALO SE DNES: Zemanovi skončí izolace, do USA jen s čerstvým testem",https://1gr.cz/fotky/idnes/21/121/cl6/KOP8fe9b3_ZemanLangdlov.jpg,"Miloš Zeman se bude moci koncem týdne již scházet s ministry nové vlády bez skleněné bariéry, po dvou týdnech mu skončí povinnost izolace. Ještě tento týden má také vyjít vyhláška o povinnosti se očkovat na covid pro vybrané skupiny obyvatel. Do USA je nově potřeba mít negativní test na covid ne starší než jeden den.","Mon, 06 Dec 2021 17:44:00 GMT",https://www.idnes.cz/zpravy/domaci/stalo-se-covid-pandemie-cestovani-adam-vojtech-zeman-usa-myanmar.A211206_172236_domaci_hend#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Zprávy - Domácí,idnes.cz
"Gól Slavie uznán správně, brance Slovácka ruka předcházela, řekla komise",https://1gr.cz/fotky/idnes/21/121/cl6/MIN8fe968_P2021120407228.jpg,"Kontroverzní situace, v nichž v hlavní roli bylo hraní rukou, sudí v 17. kole fotbalové ligy vyřešili správně podle pravidel. Oznámila to komise rozhodčích.","Mon, 06 Dec 2021 17:43:00 GMT",https://www.idnes.cz/fotbal/prvni-liga/predseda-komise-rozhodcich-radek-prihoda-olomouc-slavia-slovacko-plzen-machalek-var-pechanec.A211206_173159_fotbal_min#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Fotbal - První liga,idnes.cz
Švédové mají v nominaci do Moskvy dva mistry světa a jednoho nováčka,https://1gr.cz/fotky/idnes/18/052/cl6/MH273420f_mma411_hockey_world_svk_swe_0512_11.jpg,Dva mistry světa z roku 2018 a jednoho nováčka zařadil do nominace na Channel One Cup v Moskvě trenér švédských hokejistů Johan Garpenlöv. Zlatou medaili v Dánsku před třemi roky získali brankář Magnus Hellberg ze Soči a útočník Jacob de la Rose z Färjestadu. Na premiéru se může těšit forvard Dmytro Timashov z celku Brynäs Gävle.,"Mon, 06 Dec 2021 17:38:00 GMT",https://www.idnes.cz/hokej/reprezentace/svedsko-moskva-channel-one-cup-nominace.A211206_174315_reprezentace_ten#utm_source=rss&utm_medium=feed&utm_campaign=idnes&utm_content=main,Hokej - Reprezentace,idnes.cz
