,title,link,summary,published,tags,category,credit,source
303,Kontroloři zjistili chyby v hospodaření památkového ústavu. Upozornili i na nedostatky v zadávání zakázek,https://www.irozhlas.cz/zpravy-domov/nejvyssi-kontrolni-urad-narodni-pamatkovy-ustav-hospodareni-nedostatky_2107120854_tzr,"Národní památkový ústav v letech 2017 až 2019 chyboval při vedení účetnictví a při evidenci kulturních předmětů, nedostatky kontrola objevila i při zadávání veřejných zakázek. V tiskové zprávě na to upozornil Nejvyšší kontrolní úřad. Dodal, že některá pochybení ústav už v průběhu kontroly napravil.",2021-07-12 06:54:00,[],Zprávy z domova,,irozhlas.cz
304,Na Havlíčkobrodsku přetekla hráz rybníku. Hasiči preventivně evakuovali 20 lidí,https://www.irozhlas.cz/zpravy-domov/hasici-dest-rybnik-havlickobrodsko-chotebor-evakuace_2107120802_ere,V Nové Vsi u Chotěboře přetekla v noci hráz rybníku. Voda částečně zasáhla šest domů. Hasiči preventivně evakuovali 20 lidí. Informovala o tom mluvčí policie Dana Čírtková. Kvůli silnému dešti museli hasiči zasahovat i jinde na Havlíčkobrodsku.,2021-07-12 06:02:00,[],Zprávy z domova,,irozhlas.cz
305,"Výběr z médií: výstavby vodních nádrží, zdražování elektřiny i vzestup kyberkriminality běhen pandemie",https://www.irozhlas.cz/zpravy-domov/vyber-z-medii-vodni-nadrze-stavba-zdrazovani-elektriny-kyberkriminalita-utoky_2107120643_tzr,"S trvajícím rizikem sucha plánuje ministerstvo zemědělství výstavbu dalších vodních nádrží, většina z nich je však stále v nedohlednu. Téma pro regionální Deník. Cena elektřiny bude i nadále růst, varují Hospodářské noviny. Kyberkriminalita byla v loňském roce na vzestupu, útokům nahrál i přesun mnoha lidí na home office, píše pondělní Deník N. Více ve výběru z médií, který připravil Radiožurnál.",2021-07-12 04:43:00,[],Zprávy z domova,,irozhlas.cz
306,"Pro nové zájemce i na druhou dávku, soutěž o mobil. V Praze jsou dvě nová očkovací místa bez registrace",https://www.irozhlas.cz/zpravy-domov/ockovani-koronavirus-centrum-bez-registrace-covid-19-pfizer-johnson-chodov_2107120630_onz,"Stát spouští pilotní projekt očkování proti koronaviru bez předchozí registrace. Inspiroval se v zahraničí. Lidé si mohou pro vakcíny přijít zatím pouze v Praze. Vítaní jsou všichni od 16 let, včetně cizinců. Podle ministra zdravotnictví Adama Vojtěcha (za ANO) mohou do dvou nových očkovacích center kromě nových zájemců přijít bez registrace lidé i pro druhou dávku. Nabízíme odpovědi na 10 nejčastějších otázek.",2021-07-12 04:30:00,[],Zprávy z domova,,irozhlas.cz
307,"‚Instituce tu jsou pro občany, ne naopak.‘ Datový novinář vysvětluje, proč se obrátil na Ústavní soud",https://www.irozhlas.cz/zpravy-domov/podcast-vinohradska-12-cibulka-data-ustavni-soud_2107120600_bar,Ústavní soud dal za pravdu datovému novináři iRozhlas.cz Janu Cibulkovi. Policie podle rozhodnutí soudu nemůže žádat za informace milionové částky. Jak zásadní význam může verdikt mít?,2021-07-12 04:00:00,[],Zprávy z domova,,irozhlas.cz
308,"Desetitisíce lidí nad 70 let se zasekly při rezervaci očkování. ‚Zavolejte na 1221,‘ vzkazuje ministerstvo",https://www.irozhlas.cz/zpravy-domov/ockovani-koronavirus-cesko-data-statistiky-seniori-covid-19-rezervace_2107120500_dok,"Více než 50 tisíc seniorů starších 70 let se podle dat ministerstva zdravotnictví při přihlášení na očkování ocitlo mezi registrací a rezervací termínu. Důvod? Podle šéfa Chytré karantény Petra Šnajdárka se to stalo třeba kvůli tomu, že si změnili termín očkování více než třikrát nebo že je zaregistrovali praktičtí lékaři a nezeptali se jich. Lidem se postupně ozývají očkovací centra, pomoct jim ale mohou i na lince 1221.",2021-07-12 03:00:00,[],Zprávy z domova,,irozhlas.cz
320,Moldavské volby vyhrála proevropská strana prezidentky Sanduové. Získala nadpoloviční většinu,https://www.irozhlas.cz/zpravy-svet/moldavsko-parlamentni-volby-maia-sanduova-vlada_2107121137_ban,"Předčasné parlamentní volby v Moldavsku vyhrála proevropská Strana akce a solidarita (PAS) prezidentky Maiy Sanduové. Získala přitom více než 50 procent hlasů a bude s to sama sestavit vládu. Informovala o tom agentura TASS s odvoláním na výsledky, které v pondělí ráno zveřejnila ústřední volební komise po sečtení 99,58 procenta hlasovacích lístků.",2021-07-12 09:37:00,[],Zprávy ze světa,,irozhlas.cz
321,Blesk usmrtil v Indii šestnáct návštěvníků turistické památky. Chtěli si vyfotit selfie s bouří,https://www.irozhlas.cz/zpravy-svet/indie-blesk-obeti-smrt-monzumy-dzajpur-klimaticka-krize_2107120952_hyh,"V indickém městě Džajpur zabil v neděli blesk 16 lidí a mnoho dalších zranil. Udeřil do návštěvníků, kteří si na vrcholu Amerské strážní věže, oblíbené turistické památky, fotili selfie. Na věži a zdech pevnosti se v době incidentu nacházelo podle svědků více než 35 lidí. Někteří z nich se ve snaze o záchranu života vrhli z hradeb na zem.",2021-07-12 07:52:00,[],Zprávy ze světa,,irozhlas.cz
322,Policie na Haiti zadržela dalšího podezřelého z vraždy prezidenta. Měl zbraně i munici,https://www.irozhlas.cz/zpravy-svet/haiti-jovenel-moise-atentat-podezrely-zadrzeni_2107120744_voj,"Haitská policie oznámila, že zatkla Haiťana, který čelí obvinění, že do země přiletěl soukromým letadlem a spolupracoval se strůjci atentátů a vrahy prezidenta Jovenela Moïseho. Cílem zatčeného přitom bylo stát se novým prezidentem.",2021-07-12 05:44:00,[],Zprávy ze světa,,irozhlas.cz
323,Odhady přisuzují výhru v bulharských volbách hnutí baviče Trifonova. Ve hře zůstává i expremiér Borisov,https://www.irozhlas.cz/zpravy-svet/bulharsko-volby-parlament-itn-sestaveni-vlady-slavi-trifonov_2107120726_tzr,"Nedělní předčasné parlamentní volby v Bulharsku podle nejnovějších odhadů těsně vyhrála protestní strana Je takový národ (ITN) baviče Slaviho Trifonova, jelikož si zajistila těsný náskok nad středopravicovým hnutím Občané za evropský rozvoj Bulharska (GERB) expremiéra Bojka Borisova. Ve srovnání s dubnovými volbami si také polepšily další dvě protestní strany. Oficiální konečné výsledky by měly být známy do čtyř dnů, píše agentura DPA.",2021-07-12 05:26:00,[],Zprávy ze světa,,irozhlas.cz
324,"Odchod z Afghánistánu je útěk z pole. Práce Západu může přijít vniveč, říká bývalý šéf civilů v Lógaru",https://www.irozhlas.cz/zpravy-svet/afghanistan-taliban-pakistan-rozhovor-vaclav-pecha-logar-armada-nato-usa_2107120709_eku,"„Myslím si, že stahování vojáků bylo zbytečně urychlené a vývoj dalších třech měsíců nám dá zapravdu, že léta investovaných peněz, energie a krve, které tam koalice včetně České republiky zanechala, možná tak tak trochu vyšla vniveč,“ říká v rozhovoru pro iROZHLAS.cz Václav Pecha, který vedl civilní část prvního českého provinčního rekonstrukčního týmu v afghánském Lógaru. Tálibán má navrch, rozhodujícím hráčem je podle něj ale Pákistán.",2021-07-12 05:09:00,[],Zprávy ze světa,,irozhlas.cz
325,"Kubánci demonstrují proti pomalému očkování a výpadkům proudu. ‚Provokace,‘ tvrdí prezident",https://www.irozhlas.cz/zpravy-svet/kuba-protesty-havana-usa-ockovani-vypadky-proudu-demonstrac_2107120636_ban,"Tisíce Kubánců v neděli vyšly do ulic na protest proti pomalému tempu očkování, protikoronavirovým opatřením, nedostatku zboží a výpadkům proudu. Prezident Miguel Díaz-Canel, který zároveň vede komunistickou strany Kuby, v televizním projevu odpovědnost za rozdmýchání nepokojů přičetl Spojeným státům, píše agentura Reuters.",2021-07-12 04:36:00,[],Zprávy ze světa,,irozhlas.cz
340,Angličtí fotbalisté čelí po neúspěšném finále rasismu a urážkám. Útoky odsoudil i premiér Johnson,https://www.irozhlas.cz/sport/fotbal/fotbal-euro-2020-finale-anglie-penalty-rasismus-socialni-site_2107121150_mov,"Neúspěšní penaltoví exekutoři z nedělního finále evropského šampionátu čelí na sociálních sítích rasistickým urážkám. Uvedla to Anglická fotbalová asociace, útoky odsoudili i premiér Boris Johnson nebo starosta Londýna Sadiq Khan. Všichni tři neúspěšní střelci Albionu z penaltového rozstřelu jsou tmavé pleti.",2021-07-12 09:50:00,[],Sport,,irozhlas.cz
341,Euru kraloval brankář. Italové vsadili v rozstřelu na zkušenost a penaltového specialistu Donnarummu,https://www.irozhlas.cz/sport/fotbal/fotbal-euro-2020-finale-italie-anglie-penalty-donnarumma-nejlepsi-hrac_2107121041_mov,"Itálie bavila na fotbalovém Euru aktivní hrou a nápaditou ofenzivou, největší jistotu ale měla vzadu. Noví evropští šampioni se mohli opřít nejen o zkušenou stoperskou dvojici Leonardo Bonucci, Giorgio Chiellini, ale také o Gianluigiho Donnarummu. Stále teprve dvaadvacetiletý gólman potvrdil na turnaji pověst penaltového specialisty, výborné výkony mu navíc vynesly ocenění pro nejlepšího hráče šampionátu.",2021-07-12 08:41:00,[],Sport,,irozhlas.cz
342,"Finále Eura provázely násilnosti, fanoušci se snažili dostat na stadion bez vstupenky. Policie zatkla 49 lidí",https://www.irozhlas.cz/sport/fotbal/fotbal-euro-2020-anglie-italie-fanousci-nepokoje-nasili-video_2107120913_mov,"Policie kvůli násilnostem kolem finále fotbalového mistrovství Evropy zatkla 49 lidí. Devatenáct policistů utrpělo při šarvátkách zranění. Fanoušci domácí Anglie, kteří neměli vstupenky na finálový duel s Itálií, u stadionu Wembley tropili nepřístojnosti už před začátkem zápasu o evropský titul. Finále vyhrála Itálie v penaltovém rozstřelu.",2021-07-12 07:13:00,[],Sport,,irozhlas.cz
343,"Milwaukee nepustilo Phoenix do trháku, ve třetím duelu finále NBA znovu zářil Adetokunbo",https://www.irozhlas.cz/sport/ostatni-sporty/nba-finale-play-basketbal-milwaukee-phoenix-treti-3-zapas-vysledek_2107120815_mov,"Basketbalisté Milwaukee snížili ve finálové sérii play-off NBA s Phoenixem na 1:2 na zápasy. Nedělní utkání na domácí palubovce vyhráli 120:100 i díky výborné druhé čtvrtině, kterou ovládli rozdílem 18 bodů. Zazářil především hvězdný Řek Janis Adetokunbo, jenž v zápase zaznamenal 41 bodů, 13 doskoků a šest asistencí.",2021-07-12 06:15:00,[],Sport,,irozhlas.cz
344,"Střídání se nevyplatila. ‚Moje rozhodnutí, penalty jdou za mnou,‘ řekl anglický kouč Southgate",https://www.irozhlas.cz/sport/fotbal/fotbal-euro-2020-finale-italie-anglie-southgate-kane-penalty_2107120743_mov,"Trenér anglických fotbalistů Gareth Southgate vzal na sebe plnou zodpovědnost za neúspěšný penaltový rozstřel ve finále mistrovství Evropy s Itálií. Reprezentanti Albionu prohráli na pokutové kopy 2:3 a po neúspěšných pokusech Marcuse Rashforda, Jadona Sancha a Bukaya Saky přišli o možnost získat první evropský titul v historii. V normální hrací době i po prodloužení skončil duel 1:1.",2021-07-12 05:43:00,[],Sport,,irozhlas.cz
345,"Střelcům na Euru vládli Schick s Ronaldem, Zlatou kopačku bere díky asistenci portugalská hvězda",https://www.irozhlas.cz/sport/fotbal/fotbal-euro-2020-zlata-kopacka-nejlepsi-strelec-ronaldo-schick_2107120655_mov,"Český útočník Patrik Schick skončil na mistrovství Evropy ve fotbale druhý mezi střelci. Pětadvacetiletý hráč Leverkusenu dal sice stejně jako Cristiano Ronaldo pět branek, ve prospěch hvězdného Portugalce ale rozhodlo to, že si připsal ještě jednu asistenci.",2021-07-12 04:55:00,[],Sport,,irozhlas.cz
360,Budějovický pivovar v roce 2020 uvařil nejvíc piva od počátku své existence. Zisk zvýšil na 305 milionů,https://www.irozhlas.cz/ekonomika/pivo-budweiser-budvar-budejovice-ekonomika_2107121013_voj,"Budějovický Budvar zvýšil loni zisk po zdanění o necelých deset procent na 305 milionů korun. Tržby z prodeje výrobků a služeb stouply o 0,4 procenta na 2,81 miliardy korun, byly rekordní. Čistý obrat překročil druhým rokem po sobě tři miliardy korun. Ztráty v desítkách milionů Kč zaznamenal podnik kvůli gastro provozům, zavřeným při koronakrizi. Vyplývá to z výroční zprávy.",2021-07-12 08:13:00,[],Ekonomika,,irozhlas.cz
